smiles,n_atoms,dipole_moment_debye,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolWt,BCUT2D_MWHI,BCUT2D_MRHI,BalabanJ,BertzCT,Chi0,HallKierAlpha,Ipc,Kappa1,Kappa2,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,NHOHCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticHeterocycles,NumRotatableBonds,MolLogP,MolMR,fr_Al_OH,fr_Ar_N,fr_NH0,fr_NH1,fr_NH2,fr_allylic_oxid,fr_amide,fr_bicyclic,fr_ether,fr_ketone,fr_nitrile,fr_piperdine
CC#CC1C(C)C1C#N,18,3.7848,8.793397108843537,1.2847859977324263,-3.0737585034013604,119.16699999999994,1.6767735880835245e-15,4.917411675382525e-17,3.3415728746041466,474.0021161631802,14.621320343559642,-0.95,4403.635629921005,1.3763387827762061,2.1133688908908503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,5.920434318855644,12.772326436151324,12.745849802658757,18.230784690895057,11.963178998155353,12.33682700553198,0.0,5.261891554738487,0.0,17.681873056089238,13.703784234591359,0.0,0.0,17.91008995050356,0.0,0.0,0.0,0.0,0.0,40.853854561331275,26.040611240123337,0.0,0.0,23.79,31.385657290680598,0.0,0.0,0.0,0.0,6.069221312792274,5.920434318855644,5.920434318855644,0.0,17.598718560270466,8.793397108843537,0.0,-4.420208333333333,1.2847859977324263,0.0,-5.807233560090702,0.0,0,1,0,1,0,1,1.41538,35.207,0,0,1,0,0,0,0,0,0,0,1,0
OC12C3=CCC1C2C3,16,1.2579,7.932291666666666,0.3425925925925919,-2.433796296296296,108.13999999999994,-4.930072508840222e-32,4.231897336008168e-17,2.34629713405962,457.3031790590125,12.361807319565798,-0.30000000000000004,3406.305410159855,1.1033004564461044,0.6948290721057169,5.1088081911072125,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,0.0,6.052071746035566,18.318954332728026,20.012466707747475,6.9718093671539085,14.704118084298752,0.0,1.4311996572326342,0.0,11.787915370726157,18.346900613642447,0.0,11.625176276104835,0.0,0.0,0.0,0.0,12.141058659323535,0.0,11.787915370726157,22.341159695850298,0.0,0.0,20.23,36.186887730404166,0.0,5.573104530069267,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,11.026509550424175,4.299537037037037,-2.2274305555555545,-4.330555555555556,-0.644560185185185,-4.685300925925926,0.0,0.0,1,3,0,3,0,1,0.6972999999999999,29.24679999999999,1,0,0,0,0,1,0,1,0,0,0,0
CC(C)(O)c1ccco1,19,1.1626,7.470532407407408,0.7732175925925919,-3.3546296296296303,126.15499999999994,3.003958219754688e-17,8.21417292220882e-18,3.7093429940744023,455.44832232094706,15.223614639131599,-0.76,7269.831086853314,1.298239073561096,1.8816762783544791,9.52595912816056,12.73205678602835,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.78862164991795,8.224551337021321,8.980731747181183,21.862786133692538,0.0,1.4311996572326342,0.0,0.0,19.304835045575047,0.0,24.084299469041774,0.0,0.0,0.0,0.0,6.5400078483398465,5.601050810983688,0.0,31.80085865899778,0.0,0.0,33.370000000000005,43.38913451461682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.52595912816056,13.768026662764614,3.94662037037037,-3.2160879629629626,-1.0439814814814812,-1.671828703703703,-0.8658101851851845,-6.709259259259261,0.0,1,0,0,0,1,4,1.507,33.952799999999996,1,0,0,0,0,0,0,0,0,0,0,0
CC1c2ncnn2C1C,18,3.9264,7.901412037037037,0.48738425925925877,-3.073125,123.15899999999996,2.1095692262331614e-15,2.4592622508660443e-16,2.7456942787809795,457.8817428453395,14.146264369941973,-0.8600000000000001,5441.3678504043355,1.2610905258500285,1.3462822972537707,0.0,13.498534768136373,0.0,0.0,0.0,0.0,0.0,9.665781456092393,5.098681808301038,0.0,6.851892117295679,6.851892117295679,15.489267578554617,7.3886510245198656,12.33682700553198,0.0,0.0,14.76446326439343,0.0,25.615634388304084,0.0,12.127776211966154,0.0,0.0,0.0,0.0,14.76446326439343,0.0,0.0,43.77686589183601,0.0,0.0,30.71,37.74341060027023,0.0,0.0,4.681802935145185,0.0,0.0,0.0,0.0,10.082660329248245,12.33682700553198,3.380787037037037,0.0,-3.212037037037037,-2.770949074074074,-0.6071759259259257,-6.130046296296297,0.0,0,0,1,1,1,2,0.9561999999999999,33.14799999999999,0,3,3,0,0,0,0,1,0,0,0,0
CC1C2CC3OC1C3C2,21,1.7271,8.185,2.9000000000000004,-3.442708333333334,124.18299999999992,-3.4624667030531596e-16,-4.627603405962972e-16,2.474534055178859,557.9509055886638,16.707106781186546,-0.04,17306.608992195204,1.0769371972465371,1.195415498931057,4.736862953800049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.851892117295679,24.533765173384918,19.601543247065276,14.901553166240415,21.185965627842688,0.0,0.0,0.0,17.681873056089238,31.757777973854413,0.0,0.0,0.0,0.0,0.0,0.0,12.160036053899976,4.736862953800049,17.681873056089238,36.04684459399708,0.0,0.0,9.23,49.43965102994365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.185965627842688,0.0,0.0,-9.652083333333334,0.0,-12.390625,-3.442708333333334,0.0,0,2,1,3,0,1,1.4297,34.03899999999999,0,0,0,0,0,0,0,1,1,0,0,0
O=C1CCC12CCCO2,19,3.2981,11.800833333333333,1.6247685185185186,-3.3515046296296296,126.15499999999993,0.0,3.857252492618756e-33,2.699329947345729,468.4986262565318,15.284457050376174,-0.37,6378.658852241923,1.3038249049078878,1.5669781565701995,4.736862953800049,5.601050810983688,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,19.118774703988137,23.897978593607426,2.7415171123404405,23.238985699574066,5.783244946364939,0.0,0.0,0.0,31.092750416301207,6.558985242916289,0.0,0.0,0.0,0.0,0.0,17.943281000264918,9.53140013787187,0.0,39.19928516701973,0.0,0.0,26.3,43.43498060558243,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,13.7075855617022,0.0,-3.1284722222222214,-1.6247685185185186,0.0,-12.898981481481483,-3.2539583333333333,0.0,0,1,1,2,0,0,0.8985,32.15799999999999,0,0,0,0,0,0,0,0,1,1,0,0
CC1OC(=O)C2C(O)C12,17,4.0902,11.396458333333332,1.4991898148148148,-3.21375,128.12699999999995,10.356237452178943,2.2761418437765417e-16,2.61969700209862,410.554921812151,13.491563831562722,-0.5700000000000001,4015.4725259897245,1.5318294964959418,1.2902649727051145,9.84567114490726,6.080018026949988,0.0,1.4311996572326342,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,0.0,6.851892117295679,12.747750466214178,14.715492824653506,24.23551822217062,5.969305287951849,1.4311996572326342,0.0,11.787915370726157,19.011928171195656,0.0,0.0,0.0,0.0,0.0,0.0,24.669349190191674,9.53140013787187,11.787915370726157,16.447202010487217,0.0,0.0,46.53,36.76914882987366,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,9.84567114490726,11.026509550424175,3.853541666666666,0.0,-6.9624999999999995,0.0,-5.812384259259259,-3.21375,0.0,1,1,1,2,0,2,-0.46140000000000003,28.54079999999999,1,0,0,0,0,0,0,1,1,0,0,0
N#CCc1ccccc1,16,3.8719,8.586450774754345,0.6041761148904004,-2.603703703703703,117.15099999999994,10.816931562985122,1.8930094072596706,3.732923023715277,459.1357975851851,12.671208396324303,-1.29,2345.166961790662,1.6042574801013567,2.883755439002109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,30.212093538316473,5.563451491696996,2.7415171123404405,19.29593899497275,9.59530989319154,0.0,5.261891554738487,0.0,0.0,6.372924901329379,0.0,35.77554503001347,6.069221312792274,0.0,0.0,0.0,0.0,6.372924901329379,11.33111286753076,15.158761384888534,0.0,0.0,23.79,42.14846993134285,0.0,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,14.857201447930025,8.586450774754345,-0.6240740740740736,0.0,-1.978020597127739,-2.603703703703703,0.0,0.0,0,0,0,0,0,1,1.75268,35.75900000000001,0,0,1,0,0,0,0,0,0,0,1,0
N=c1[nH]ncncc1=O,13,2.9026,11.044907407407408,0.19712962962962965,-1.0037037037037033,124.10299999999997,13.574223499708095,2.746205517866981,3.870918389502576,454.9248516947446,10.008071689507771,-1.5199999999999998,694.2646442737347,2.3832402967135695,2.1653068418522676,0.0,7.674130270136447,8.31139110811417,5.428790391900541,0.0,0.0,15.28855209672847,4.9839785209472085,5.098681808301038,0.0,0.0,0.0,0.0,7.543653766984981,5.565201268996842,0.0,5.402308355073566,15.174366886831326,0.0,0.0,0.0,28.18730145221112,0.0,10.91649734335831,0.0,0.0,15.174366886831326,0.0,5.402308355073566,2.7415171123404405,2.8236841566564013,0.0,82.49000000000001,23.3927642681393,4.794537184071822,5.091706557583081,0.0,0.0,0.0,0.0,0.0,15.48496868432181,5.565201268996842,6.049537037037037,-1.6601851851851848,0.0,0.0,-1.4013888888888886,0.0,0.0,2,0,0,0,1,0,-1.3556300000000006,28.507399999999997,0,3,2,2,0,0,0,0,0,0,0,0
COC1C(C#N)C1OC,18,4.1458,8.725365646258503,1.1833333333333333,-3.16091128117914,127.14299999999994,2.6749436980555973e-15,2.4300903359754904e-16,3.106249877836804,369.33271601738556,14.621320343559642,-0.5900000000000001,3573.872082556494,1.5234733779796714,2.3386378708960347,9.473725907600098,18.053993739263056,0.0,0.0,0.0,0.0,0.0,0.0,5.261891554738487,0.0,0.0,0.0,14.075904917765177,18.406048318324252,21.810552913132074,0.0,5.261891554738487,0.0,5.893957685363079,12.160036053899976,14.075904917765177,0.0,6.069221312792274,0.0,0.0,0.0,26.235940971665155,9.473725907600098,17.22507055289384,12.33682700553198,0.0,0.0,42.25,32.12989865702823,0.0,0.0,0.0,0.0,6.069221312792274,0.0,0.0,9.473725907600098,17.598718560270466,8.725365646258503,0.0,-2.76111111111111,1.1833333333333333,-5.844444444444444,0.0,-6.321822562358278,0,1,0,1,0,4,0.16977999999999993,30.696999999999985,0,0,1,0,0,0,0,0,2,0,1,0
